timestamp	sequence_index	subject_id	compound_id	descriptor	value	challenge_split
2015-06-02T00:00:45Z	45	synapse-individual-1	6989	SWEET	0	leaderboard_set
2015-06-02T00:00:46Z	46	synapse-individual-1	7047	SWEET	58	leaderboard_set
2015-06-02T00:00:47Z	47	synapse-individual-1	7409	SWEET	0	leaderboard_set
2015-06-02T00:00:48Z	48	synapse-individual-1	243	FRUIT	73	leaderboard_set
2015-06-02T00:00:49Z	49	synapse-individual-1	454	FRUIT	0	leaderboard_set
2015-06-02T00:00:50Z	50	synapse-individual-1	679	FRUIT	0	leaderboard_set
2015-06-02T00:00:51Z	51	synapse-individual-1	1030	FRUIT	0	leaderboard_set
2015-06-02T00:00:52Z	52	synapse-individual-1	1060	FRUIT	0	leaderboard_set
2015-06-02T00:00:53Z	53	synapse-individual-1	2682	FRUIT	0	leaderboard_set
2015-06-02T00:00:54Z	54	synapse-individual-1	6137	FRUIT	0	leaderboard_set
2015-06-02T00:00:55Z	55	synapse-individual-1	6386	FRUIT	0	leaderboard_set
2015-06-02T00:00:56Z	56	synapse-individual-1	6826	FRUIT	0	leaderboard_set
2015-06-02T00:00:57Z	57	synapse-individual-1	6989	FRUIT	0	leaderboard_set
2015-06-02T00:00:58Z	58	synapse-individual-1	7047	FRUIT	0	leaderboard_set
2015-06-02T00:00:59Z	59	synapse-individual-1	7409	FRUIT	0	leaderboard_set
2015-06-02T00:01:00Z	60	synapse-individual-1	243	FISH	0	leaderboard_set
2015-06-02T00:01:01Z	61	synapse-individual-1	454	FISH	0	leaderboard_set
2015-06-02T00:01:02Z	62	synapse-individual-1	679	FISH	0	leaderboard_set
2015-06-02T00:01:03Z	63	synapse-individual-1	1030	FISH	0	leaderboard_set
2015-06-02T00:01:04Z	64	synapse-individual-1	1060	FISH	0	leaderboard_set
2015-06-02T00:01:05Z	65	synapse-individual-1	2682	FISH	0	leaderboard_set
2015-06-02T00:01:06Z	66	synapse-individual-1	6137	FISH	0	leaderboard_set
2015-06-02T00:01:07Z	67	synapse-individual-1	6386	FISH	0	leaderboard_set
2015-06-02T00:01:08Z	68	synapse-individual-1	6826	FISH	0	leaderboard_set
2015-06-02T00:01:09Z	69	synapse-individual-1	6989	FISH	0	leaderboard_set
2015-06-02T00:01:10Z	70	synapse-individual-1	7047	FISH	0	leaderboard_set
2015-06-02T00:01:11Z	71	synapse-individual-1	7409	FISH	0	leaderboard_set
